type; start; end; value; unit
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-23 11:21:53 +0100"; "2022-09-23 12:59:28 +0100"; "15.0055"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-26 11:08:09 +0100"; "2022-09-26 12:04:02 +0100"; "644.435"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-26 11:08:09 +0100"; "2022-09-26 12:04:02 +0100"; "10.0071"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-26 14:13:56 +0100"; "2022-09-26 14:59:15 +0100"; "209.02"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-09-26 14:13:56 +0100"; "2022-09-26 14:59:15 +0100"; "11.929"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-28 17:02:11 +0100"; "2022-09-28 17:43:09 +0100"; "320.643"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-28 17:02:11 +0100"; "2022-09-28 17:43:09 +0100"; "5.2359"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-30 09:50:46 +0100"; "2022-09-30 10:59:28 +0100"; "771.172"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-30 09:50:46 +0100"; "2022-09-30 10:59:28 +0100"; "12.0209"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-03 09:21:39 +0100"; "2022-10-03 10:53:15 +0100"; "958.145"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-03 09:21:39 +0100"; "2022-10-03 10:53:15 +0100"; "15.1585"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-05 15:21:17 +0100"; "2022-10-05 16:34:20 +0100"; "680.56"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-05 15:21:17 +0100"; "2022-10-05 16:34:20 +0100"; "11.0093"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-07 12:02:44 +0100"; "2022-10-07 12:40:21 +0100"; "303.101"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-07 12:02:44 +0100"; "2022-10-07 12:40:21 +0100"; "5.04966"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-09 09:28:49 +0100"; "2022-10-09 11:24:35 +0100"; "1357.21"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-09 09:28:49 +0100"; "2022-10-09 11:24:35 +0100"; "21.1065"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-12 15:32:02 +0100"; "2022-10-12 16:19:19 +0100"; "274.714"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-12 15:32:02 +0100"; "2022-10-12 16:19:19 +0100"; "4.90613"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-15 07:06:02 +0100"; "2022-10-15 08:14:30 +0100"; "538.183"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-15 07:06:02 +0100"; "2022-10-15 08:14:30 +0100"; "8.98511"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-17 17:04:24 +0100"; "2022-10-17 18:24:00 +0100"; "839.049"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-17 17:04:24 +0100"; "2022-10-17 18:24:00 +0100"; "13.2534"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-19 16:04:42 +0100"; "2022-10-19 16:27:59 +0100"; "273.401"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-19 16:04:42 +0100"; "2022-10-19 16:27:59 +0100"; "4.20333"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-10-24 17:01:15 +0100"; "2022-10-24 18:17:15 +0100"; "844.373"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-24 17:01:15 +0100"; "2022-10-24 18:17:15 +0100"; "13.2667"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-10 18:05:14 +0100"; "2022-11-10 19:17:43 +0100"; "742.488"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-10 18:05:14 +0100"; "2022-11-10 19:17:43 +0100"; "11.7528"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-14 18:04:15 +0100"; "2022-11-14 19:25:57 +0100"; "748.308"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-14 18:04:15 +0100"; "2022-11-14 19:25:57 +0100"; "12.0096"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-19 09:03:25 +0100"; "2022-11-19 09:29:05 +0100"; "324.041"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-19 09:03:25 +0100"; "2022-11-19 09:29:05 +0100"; "5.00279"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-26 09:03:36 +0100"; "2022-11-26 09:27:54 +0100"; "324.789"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-26 09:03:36 +0100"; "2022-11-26 09:27:54 +0100"; "5.00483"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-11-28 18:00:11 +0100"; "2022-11-28 19:16:12 +0100"; "826.602"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-28 18:00:11 +0100"; "2022-11-28 19:16:12 +0100"; "13.0049"; "km"
